weight_year,coicop,product_label,category,weight_eurostat_hbs,weight_insee_bdf,diff_insee_minus_eurostat,abs_diff
2022,041,Actual rental payments made for housing,Second quintile,14.0202853553486,10.6331119182805,-3.38717343706808,3.38717343706808
2022,045,"Electricity, gas and other fuels",Second quintile,8.40788015039563,7.81040678225898,-0.597473368136658,0.597473368136658
2022,044,Water supply and miscellaneous services relating to the dwelling,Second quintile,2.69529076511653,2.15159923930554,-0.543691525810993,0.543691525810993
2022,09,"Recreation, sport and culture",Second quintile,6.07135898982415,5.56365657557619,-0.507702414247954,0.507702414247954
2022,083,Information and communication services,Second quintile,4.30289736824001,3.98071561627872,-0.322181751961284,0.322181751961284
2022,043,"Maintenance, repair and security of the dwelling",Second quintile,1.73670442710901,1.45591094632097,-0.280793480788036,0.280793480788036
2022,054,"Glassware, tableware and household utensils",Second quintile,0.58963090490727,0.84807913815291,0.258448233245641,0.258448233245641
2022,111,Food and beverage serving services,Second quintile,5.14995975623243,4.93632788009414,-0.213631876138291,0.213631876138291
2022,112,Accommodation services,Second quintile,0.88165315884905,1.06521416933358,0.183561010484533,0.183561010484533
2022,081,Information and communication equipment,Second quintile,1.45944622244417,1.64167421123885,0.182227988794674,0.182227988794674
2022,056,Goods and services for routine household maintenance,Second quintile,0.939724254695961,0.823448937842073,-0.116275316853888,0.116275316853888
2022,031,Clothing,Second quintile,3.19816241752898,3.09469006284783,-0.103472354681151,0.103472354681151
2022,051,"Furniture, furnishings, and loose carpets",Second quintile,1.53794737842295,1.48451995458398,-0.0534274238389669,0.0534274238389669
2022,032,Footwear,Second quintile,0.855428128376634,0.896818654438575,0.0413905260619405,0.0413905260619405
2022,053,Household appliances,Second quintile,1.46072643842877,1.42068602351755,-0.0400404149112228,0.0400404149112228
2022,055,Tools and equipment for house and garden,Second quintile,0.538004235814006,0.498440812606079,-0.0395634232079275,0.0395634232079275
2022,052,Household textiles,Second quintile,0.286036828559234,0.321636032703793,0.0355992041445594,0.0355992041445594
2022,082,"Software, excluding games",Second quintile,7.31551991200086e-08,1.06562636611984e-07,3.34074374919758e-08,3.34074374919758e-08
2022,01,Food and non-alcoholic beverages,Second quintile,19.0555225400099,,,
2022,011,Food,Second quintile,,18.1008276659176,,
2022,012,Non-alcoholic beverages,Second quintile,,1.56986750327802,,
2022,013,Services for processing primary goods for food and non-alcoholic beverages,Second quintile,,8.51566947494938e-08,,
2022,02,"Alcoholic beverages, tobacco and narcotics",Second quintile,,5.69106866432308,,
2022,021,Alcoholic beverages,Second quintile,2.25610634086107,,,
2022,022,Alcohol production services,Second quintile,1.43496736735402e-07,,,
2022,023,Tobacco,Second quintile,2.67528563181872e-06,,,
2022,06,Health,Second quintile,5.02027553961059,,,
2022,061,Medicines and health products,Second quintile,,1.96324736594025,,
2022,062,Outpatient care services,Second quintile,,2.64748950515997,,
2022,063,Inpatient care services,Second quintile,,0.18369504105033,,
2022,064,Other health services,Second quintile,,0.104089330972101,,
2022,07,Transport,Second quintile,15.1240061089809,,,
2022,071,Purchase of vehicles,Second quintile,,3.16793049413868,,
2022,072,Operation of personal transport equipment,Second quintile,,11.6293270810056,,
2022,073,Passenger transport services,Second quintile,,1.42581585531569,,
2022,074,Transport services for goods,Second quintile,,0.156995104741179,,
2022,10,Education services,Second quintile,,0.312496388847734,,
2022,101,Early childhood and primary education,Second quintile,5.48663993400065e-08,,,
2022,102,Secondary education,Second quintile,1.7008583795402e-07,,,
2022,103,Post-secondary non-tertiary education,Second quintile,1.09732798680013e-13,,,
2022,104,Tertiary education,Second quintile,0.121803406534814,,,
2022,105,Education not defined by level,Second quintile,2.5238543696403e-08,,,
2022,12,Insurance and financial services,Second quintile,,4.42021285221019,,
2022,121,Insurance,Second quintile,4.29114557865164,,,
2022,122,Financial services,Second quintile,5.62929257228467e-07,,,
2022,043,"Maintenance, repair and security of the dwelling",Third quintile,2.24119807140524,3.56630523967267,1.32510716826743,1.32510716826743
2022,045,"Electricity, gas and other fuels",Third quintile,7.67865784486378,6.92900150915179,-0.749656335711986,0.749656335711986
2022,09,"Recreation, sport and culture",Third quintile,6.83783771594636,6.30129428439597,-0.536543431550389,0.536543431550389
2022,044,Water supply and miscellaneous services relating to the dwelling,Third quintile,2.18095252931342,1.72171031270886,-0.459242216604562,0.459242216604562
2022,083,Information and communication services,Third quintile,3.90920076748007,3.55530307321765,-0.353897694262428,0.353897694262428
2022,031,Clothing,Third quintile,3.30175490098261,2.98491206174683,-0.316842839235777,0.316842839235777
2022,051,"Furniture, furnishings, and loose carpets",Third quintile,1.90531610264549,1.63447970489573,-0.270836397749766,0.270836397749766
2022,111,Food and beverage serving services,Third quintile,5.62058902107412,5.88460652265503,0.264017501580913,0.264017501580913
2022,056,Goods and services for routine household maintenance,Third quintile,1.04479103017025,0.802132725294894,-0.242658304875361,0.242658304875361
2022,041,Actual rental payments made for housing,Third quintile,9.17574835830145,9.02818189392835,-0.147566464373101,0.147566464373101
2022,054,"Glassware, tableware and household utensils",Third quintile,0.608729787886311,0.75205366967523,0.143323881788919,0.143323881788919
2022,032,Footwear,Third quintile,0.993528580601044,0.859103682250883,-0.134424898350162,0.134424898350162
2022,052,Household textiles,Third quintile,0.295301919433682,0.395792229239797,0.100490309806115,0.100490309806115
2022,055,Tools and equipment for house and garden,Third quintile,0.555430866366311,0.483415249757144,-0.072015616609167,0.072015616609167
2022,053,Household appliances,Third quintile,1.29260673941367,1.33680205187636,0.0441953124626888,0.0441953124626888
2022,081,Information and communication equipment,Third quintile,1.50671951219999,1.47805812535975,-0.0286613868402421,0.0286613868402421
2022,112,Accommodation services,Third quintile,1.06191284280889,1.07096132042862,0.0090484776197266,0.0090484776197266
