country,year,category,mean_expenditure_pps_hh,group_consumption_share,group_consumption_share_pm,source
DE,1994,Second quintile,15960,0.154502947753608,154.502947753608,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1994,Third quintile,19429,0.188085073427623,188.085073427623,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1994,Fourth quintile,23612,0.228579173080088,228.579173080088,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1994,Fifth quintile,33166,0.321067967744121,321.067967744121,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1999,First quintile,12490,0.105962399891408,105.962399891408,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1999,Second quintile,17867,0.151579679652504,151.579679652504,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1999,Third quintile,22151,0.187924188950726,187.924188950726,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1999,Fourth quintile,27268,0.231335686168047,231.335686168047,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1999,Fifth quintile,38096,0.323198045337315,323.198045337315,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2005,First quintile,14388,0.100964169929687,100.964169929687,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2005,Second quintile,20978,0.147207836863009,147.207836863009,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2005,Third quintile,26877,0.188602585154309,188.602585154309,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2005,Fourth quintile,33216,0.233084922740095,233.084922740095,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2005,Fifth quintile,47047,0.330140485312899,330.140485312899,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2010,First quintile,12180,0.085870193595691,85.870193595691,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2010,Second quintile,18519,0.130560764794631,130.560764794631,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2010,Third quintile,25302,0.178381579503955,178.381579503955,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2010,Fourth quintile,33857,0.238695167862833,238.695167862833,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2010,Fifth quintile,51984,0.36649229424289,366.49229424289,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2015,First quintile,13225,0.0861687017031757,86.1687017031757,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2015,Second quintile,20622,0.134364534330653,134.364534330653,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2015,Third quintile,27885,0.181687277655429,181.687277655429,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2015,Fourth quintile,37125,0.241891345990956,241.891345990956,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2015,Fifth quintile,54621,0.355888140319785,355.888140319785,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2020,First quintile,14119,0.0879228316644249,87.9228316644249,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2020,Second quintile,21572,0.134334678423753,134.334678423753,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2020,Third quintile,29408,0.183131569770338,183.131569770338,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2020,Fourth quintile,38965,0.242645593583421,242.645593583421,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,2020,Fifth quintile,56520,0.351965326558063,351.965326558063,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1994,First quintile,11653,0.121501855945281,121.501855945281,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1994,Second quintile,14778,0.154085164949744,154.085164949744,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1994,Third quintile,18404,0.191892230053802,191.892230053802,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1994,Fourth quintile,23650,0.246590482545773,246.590482545773,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1994,Fifth quintile,27423,0.285930266505401,285.930266505401,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1999,First quintile,13627,0.116304078793517,116.304078793517,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1999,Second quintile,17766,0.151629725093243,151.629725093243,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1999,Third quintile,22911,0.195541406710081,195.541406710081,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1999,Fourth quintile,28459,0.242892623349578,242.892623349578,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,1999,Fifth quintile,34404,0.293632166053582,293.632166053582,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2005,First quintile,13395,0.111398489737534,111.398489737534,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2005,Second quintile,18092,0.150460729849306,150.460729849306,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2005,Third quintile,24595,0.204542430391537,204.542430391537,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2005,Fourth quintile,28854,0.239962077109877,239.962077109877,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2005,Fifth quintile,35308,0.293636272911746,293.636272911746,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2010,First quintile,14747,0.103248617237275,103.248617237275,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2010,Second quintile,20136,0.140978785969334,140.978785969334,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2010,Third quintile,25578,0.179080025204789,179.080025204789,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2010,Fourth quintile,34801,0.243653294125884,243.653294125884,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2010,Fifth quintile,47568,0.333039277462718,333.039277462718,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2015,First quintile,15090,0.100218501570688,100.218501570688,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2015,Second quintile,21438,0.142378014358675,142.378014358675,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2015,Third quintile,27946,0.185600148767027,185.600148767027,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2015,Fourth quintile,35245,0.234075618811059,234.075618811059,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2015,Fifth quintile,50852,0.337727716492552,337.727716492552,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2020,First quintile,15282,0.100883939239905,100.883939239905,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2020,Second quintile,21263,0.14036743882071,140.36743882071,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2020,Third quintile,26249,0.173282457866003,173.282457866003,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2020,Fourth quintile,35937,0.237237673371578,237.237673371578,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DK,2020,Fifth quintile,52750,0.348228490701804,348.228490701804,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2005,First quintile,5561,0.102592011807029,102.592011807029,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2005,Second quintile,7286,0.134415644313255,134.415644313255,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2005,Third quintile,8900,0.164191495249516,164.191495249516,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2005,Fourth quintile,12741,0.23505211696338,235.05211696338,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2005,Fifth quintile,19717,0.36374873166682,363.74873166682,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2010,First quintile,4389,0.0842741935483871,84.2741935483871,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2010,Second quintile,6724,0.129109062980031,129.109062980031,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2010,Third quintile,8502,0.163248847926267,163.248847926267,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2010,Fourth quintile,12476,0.239554531490015,239.554531490015,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2010,Fifth quintile,19989,0.3838133640553,383.8133640553,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2015,First quintile,5750,0.0701852891633914,70.1852891633914,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2015,Second quintile,9905,0.12090178941972,120.90178941972,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2015,Third quintile,14290,0.174425701242585,174.425701242585,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2015,Fourth quintile,20636,0.251885848204477,251.885848204477,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2015,Fifth quintile,31345,0.382601371969826,382.601371969826,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2020,First quintile,7331,0.0828782997004126,82.8782997004126,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2020,Second quintile,11851,0.13397772878865,133.97772878865,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2020,Third quintile,15820,0.178848001808829,178.848001808829,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
EE,2020,Fourth quintile,20795,0.23509128935617,235.09128935617,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
