hbs_category,category,country,year,mean_expenditure_pps_hh,household_count,household_share,group_consumption_share,group_consumption_share_pm,source
age,From 30 to 44 years,BG,2015,16926,511,0.172285906945381,0.235109392696875,235.109392696875,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BG,2015,14179,772,0.260283209710047,0.297548418200952,297.548418200952,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BG,2015,9925,1604,0.540795684423466,0.432742572412761,432.742572412761,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BG,2020,16471,43,0.0145663956639566,0.0183780863247689,18.3780863247689,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BG,2020,17910,372,0.126016260162602,0.172882243633982,172.882243633982,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BG,2020,16141,718,0.243224932249322,0.300723069866688,300.723069866688,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BG,2020,10763,1819,0.616192411924119,0.508016600174561,508.016600174561,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CY,2005,38327,221,0.0739130434782609,0.0828359373021156,82.8359373021156,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CY,2005,38559,949,0.317391304347826,0.357860418119551,357.860418119551,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CY,2005,43721,909,0.304013377926421,0.388665203049714,388.665203049714,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CY,2005,19153,911,0.304682274247492,0.17063844152862,170.63844152862,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CY,2010,36046,105,0.0387883265607684,0.0322035475421778,32.2035475421778,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CY,2010,53345,628,0.231991134096786,0.285043211188966,285.043211188966,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CY,2010,55011,885,0.326930181012191,0.414238203076711,414.238203076711,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CY,2010,28979,1089,0.402290358330255,0.268515038192145,268.515038192145,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,CY,2015,27294,141,0.0490264255910987,0.0381430509859802,38.1430509859802,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,CY,2015,37440,728,0.253129346314325,0.270144635599176,270.144635599176,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,CY,2015,46609,841,0.292420027816412,0.388503476649082,388.503476649082,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CY,2015,26237,1166,0.405424200278164,0.303208836765762,303.208836765762,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
