year,quintile,category,coicop,bridge_group,expense_share_pm,income_over_expense_factor,adjusted_share_pm
2020,Q4,Fourth quintile,CP02,CP01_CP02,20.1791695616863,1.03015075376884,20.7088826136717
2015,Q4,Fourth quintile,CP03,CP03,47.1706223524161,1.08695652173913,50.8664324557248
2020,Q4,Fourth quintile,CP03,CP03,40.956974438716,1.08695652173913,44.3498986605454
2015,Q4,Fourth quintile,CP04,CP04,347.340731386995,0.993527508090615,342.360073425625
2020,Q4,Fourth quintile,CP04,CP04,368.383766443315,0.993527508090615,364.613690945485
2015,Q4,Fourth quintile,CP05,CP05,40.0058105531914,0.875,34.7279084073849
2020,Q4,Fourth quintile,CP05,CP05,42.5491083484134,0.875,37.0895110958134
2015,Q4,Fourth quintile,CP06,CP06,43.7428402973147,1,43.3964775278755
2020,Q4,Fourth quintile,CP06,CP06,46.3215348159776,1,46.1461563213463
2015,Q4,Fourth quintile,CP07,CP07,100.639439026281,0.796747967479675,79.5493566963649
2020,Q4,Fourth quintile,CP07,CP07,93.4660883202152,0.796747967479675,74.1869682801963
2015,Q4,Fourth quintile,CP08,CP08,26.023496959745,1.04761904761905,27.046840616394
2020,Q4,Fourth quintile,CP08,CP08,24.767762672706,1.04761904761905,25.8489410270394
2015,Q4,Fourth quintile,CP09,CP09,54.1291788337675,1.15094339622642,61.8063226108716
2020,Q4,Fourth quintile,CP09,CP09,39.7281838702917,1.15094339622642,45.5517713354432
2015,Q4,Fourth quintile,CP10,CP10,5.40147753673838,0.666666666666667,3.57247185211215
2020,Q4,Fourth quintile,CP10,CP10,5.69527584152783,0.666666666666667,3.78247526153037
2015,Q4,Fourth quintile,CP11,CP11_CP12,54.0213536798661,1.13559322033898,60.8605333627908
2015,Q4,Fourth quintile,CP12,CP11_CP12,77.4008351194409,1.13559322033898,87.199890176952
2020,Q4,Fourth quintile,CP11,CP11_CP12,37.1501674687254,1.13559322033898,42.0277518160904
2020,Q4,Fourth quintile,CP12,CP11_CP12,71.5971345498634,1.13559322033898,80.9973899616483
2015,Q5,Fifth quintile,CP01,CP01_CP02,145.575421712379,1.04255319148936,150.829115867922
2015,Q5,Fifth quintile,CP02,CP01_CP02,15.1239973760118,1.04255319148936,15.6698096820189
2020,Q5,Fifth quintile,CP01,CP01_CP02,164.254165307071,1.04255319148936,171.509918458145
2020,Q5,Fifth quintile,CP02,CP01_CP02,17.1534063344321,1.04255319148936,17.9111398252695
2015,Q5,Fifth quintile,CP03,CP03,56.3066280718201,1.13432835820896,63.4741971258647
2020,Q5,Fifth quintile,CP03,CP03,46.3421997414822,1.13432835820896,52.6489920415532
2015,Q5,Fifth quintile,CP04,CP04,296.846584999347,0.885185185185185,261.135009522837
2020,Q5,Fifth quintile,CP04,CP04,322.014290158944,0.885185185185185,285.485403695004
2015,Q5,Fifth quintile,CP05,CP05,49.8752182518462,1,49.5659820749553
2020,Q5,Fifth quintile,CP05,CP05,57.7780426108491,1,57.8678639304949
2015,Q5,Fifth quintile,CP06,CP06,50.2478701759229,1.04545454545455,52.2061563693258
2020,Q5,Fifth quintile,CP06,CP06,50.0592429294386,1.04545454545455,52.4160221444724
2015,Q5,Fifth quintile,CP07,CP07,142.90654898601,0.926136363636364,131.530349649039
2020,Q5,Fifth quintile,CP07,CP07,127.891466875902,0.926136363636364,118.629071701233
2015,Q5,Fifth quintile,CP08,CP08,21.1532642017941,1,21.0221097972661
2020,Q5,Fifth quintile,CP08,CP08,19.0343717774107,1,19.0639624716333
2015,Q5,Fifth quintile,CP09,CP09,65.2209352964013,1.46938775510204,95.2406487936698
2020,Q5,Fifth quintile,CP09,CP09,54.3213272270129,1.46938775510204,79.9431792426712
2015,Q5,Fifth quintile,CP10,CP10,9.28998568287878,0.818181818181818,7.55377031604459
2020,Q5,Fifth quintile,CP10,CP10,8.69981850701725,0.818181818181818,7.1290989661213
2015,Q5,Fifth quintile,CP11,CP11_CP12,63.9643058785237,1.03571428571429,65.8379901041054
2015,Q5,Fifth quintile,CP12,CP11_CP12,83.4892393670653,1.03571428571429,85.9348606969515
2020,Q5,Fifth quintile,CP11,CP11_CP12,45.6929170414851,1.03571428571429,47.3983777322524
2020,Q5,Fifth quintile,CP12,CP11_CP12,86.7587514889549,1.03571428571429,89.9969697911508
