IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
093AZ;093AZ - Animaux d’agrément;161;123;113;116;143;125;170;227;173;236;188
094 ;094 - Services sportifs, récréatifs et culturels;829;430;436;523;619;689;776;902;905;1 365;1 638
0941;0941 - Services sportifs et récréatifs;325;118;131;184;164;213;276;328;317;710;800
09411;09411 - Services sportifs et récréatifs (spectacles sportifs, participation loisirs, location matériel, cours et cotisations de loisirs, abonnement jeu vidéo... );325;118;131;184;164;213;276;328;317;710;800
0942;0942 - Services culturels;466;290;282;312;410;435;443;528;549;611;799
0942Z;0942Z - Services culturels;466;290;282;312;410;435;443;528;549;611;799
0943;0943 - jeux de hasard (loto, tiercé …);38;22;23;26;45;40;57;47;39;44;38
09431;09431 - jeux de hasard (loto, tiercé …);38;22;23;26;45;40;57;47;39;44;38
095 ;095 - Edition, presse, papeterie;315;155;174;197;288;264;300;343;370;409;650
0951;0951 - Livres;117;82;53;68;91;83;90;118;130;162;291
09511;09511 - Livres yc e-books;117;82;53;68;91;83;90;118;130;162;291
0952;0952 - Journaux et périodiques;114;32;76;76;116;116;122;124;133;141;206
09521;09521 - Journaux et périodiques yc par abonnement;114;32;76;76;116;116;122;124;133;141;206
0953;0953 - Imprimés divers;12;3;7;6;9;13;15;14;14;18;25
09531;09531 - Imprimés divers (carte postale, de visite, poster, calendrier, carte routière, autocollant…);12;3;7;6;9;13;15;14;14;18;25
0954;0954 - Articles de papeterie et de dessin;72;38;38;48;72;53;72;87;92;88;129
09541;09541 - Articles de papeterie et de dessin (yc toner pour imprimante);72;38;38;48;72;53;72;87;92;88;129
096;096 - Voyages à forfait;363;89;93;107;174;227;276;340;474;677;1 171
0960;0961 - Voyages à forfait;363;89;93;107;174;227;276;340;474;677;1 171
09611;09611 - Voyages à forfait, week-end, excursions… yc voyage scolaire;363;89;93;107;174;227;276;340;474;677;1 171
097;097 - Autres dépenses de loisirs;235;90;87;101;155;160;215;269;306;366;604
0971;0971 - Autres dépenses de loisirs;235;90;87;101;155;160;215;269;306;366;604
0971Z;0971Z - Autres dépenses de loisirs;235;90;87;101;155;160;215;269;306;366;604
10;10 - ENSEIGNEMENT;214;295;230;93;169;131;134;159;202;249;472
101 ;101 - Frais d enseignement, services éducatifs;214;295;230;93;169;131;134;159;202;249;472
